# Strain_x(Poisson) Strain_y(Poisson) Strain_z(longitudinal) Stress_xx(GPa) Stress_yy(GPa) Stress_zz(GPa) Stress_VM(GPa)
-0.131788589467677 -0.161342381442693 0.045 0.0120817971806241 0.00502739165510648 0.0612892366247445 0.0530873428104704
-0.132772457013957 -0.161551820483248 0.04525 0.00213920022514945 0.0106982998081743 0.064630207680644 0.0586814914825764
-0.13370024600432 -0.162167550080344 0.0455 -0.00352068410692457 0.019226160857378 0.0669705280500116 0.0623135400447175
-0.134402977512971 -0.163202732005115 0.0457499999999999 -0.00165247113624202 0.00148250583187749 0.0629840890161147 0.0631274810327781
-0.134945120226761 -0.164159393327692 0.0459999999999999 0.00176237810724677 0.00288377019031525 0.0715807416527938 0.06926447609164
-0.135458287512467 -0.164934736708047 0.0462499999999999 0.00192059066158046 -0.0104923782153974 0.0721412853047029 0.0771794988946437
-0.136017395731239 -0.165375318415158 0.0465 0.0122064902028436 0.00262577864888908 0.0741961630640705 0.0672934970879759
-0.136836080266415 -0.16579825501121 0.04675 0.00838224247409658 0.00386356555604054 0.0748393942988674 0.0688278277133657
-0.137781174698564 -0.16631745711016 0.0469999999999999 0.00193292979065848 0.0101959897709972 0.0721182416037307 0.0664402792986804
-0.138627588558387 -0.167066723206515 0.0472499999999999 -0.0048736628141471 0.0085000509383382 0.0714260573022956 0.0705697732258568
-0.139218443883096 -0.167936328587182 0.0474999999999999 0.000153527268806263 0.00403215137784378 0.0652223675914318 0.0632188273624883
-0.13973686245581 -0.168738692544937 0.04775 0.00355352129875678 -0.0109036287833028 0.0532050045460817 0.0582417197742136
-0.140276640167846 -0.169121409629633 0.048 0.00180638618926904 -0.00689175432483023 0.058976114232579 0.0619782686158833
-0.140786976888316 -0.169267874245012 0.04825 0.00671774728561527 0.00274457314564821 0.0563503812157261 0.0517337758260158
-0.141453314715421 -0.169511317133671 0.0484999999999999 0.0188662012996795 0.00859953093301172 0.0628130178288875 0.0498790004154002
-0.142539282358532 -0.16988876210527 0.0487499999999999 0.0112466083007688 -0.0015502575740634 0.0634357956644342 0.0596265803539624
-0.143763461071388 -0.170182538623881 0.0489999999999999 -0.00139826369844144 0.00037690447413382 0.06273858625276 0.0632679464577541
-0.144746314885385 -0.170471182729977 0.04925 -0.00734803838619871 -0.00312917968392221 0.0652783758203788 0.0706115729159504
-0.14541986806202 -0.170647952245984 0.0495 0.0120388512758744 0.00515709908289951 0.0730281923017553 0.0647052684359602
-0.146316653945319 -0.170871739936962 0.04975 0.0193651092665164 0.0072038746223229 0.0762552282269053 0.0638454019410302
-0.147594326977906 -0.171330936869193 0.0499999999999999 4.56492826919002e-05 0.0144122442580611 0.0769153962844254 0.0707884209052852
-0.148636060475319 -0.172038447774006 0.0502499999999999 -0.0164651901334467 -0.0023628797325489 0.0593557976362385 0.0698458749002634
-0.149074056224456 -0.172578295832773 0.0504999999999999 0.00227984088589676 0.00192609206953995 0.0663893673098715 0.0642871307931927
-0.149452060510824 -0.17303755172904 0.05075 0.012246967698823 0.000764170356097867 0.0675930842941593 0.0618916431965555
-0.150069518609024 -0.173467186574348 0.051 0.00653379784286212 0.000285585494352692 0.0674721515235105 0.0642905815872366
-0.150870946873208 -0.173849666326975 0.0512499999999999 0.0129558103651396 0.00357647017494717 0.0758194133103243 0.0680398685717225
-0.151926529636574 -0.174264863012883 0.0514999999999999 0.0135565504092515 0.00891426814960197 0.0719083480620639 0.0608059913902843
-0.153123625245276 -0.174847955792614 0.0517499999999999 -0.00101167235218488 0.00455843345046124 0.0594471370761942 0.0578751393167363
-0.154053053573934 -0.175421860721098 0.052 -0.00785070932073052 -0.00912769093627546 0.041620016479675 0.050121418581482
-0.154629104955137 -0.17569640685096 0.05225 0.00188644953059838 -0.00255020995600257 0.0561815490894854 0.0566438933340866
-0.155144690813871 -0.175853552539055 0.0524999999999998 -0.00267674171487138 0.00535822102662679 0.056079384905515 0.0551791604997628
-0.155585000742684 -0.176122362134487 0.0527499999999999 0.0102984746371437 0.00575704151577917 0.0592096814293334 0.0513328134743863
-0.156223588562525 -0.176525735346699 0.0529999999999999 0.0139745773214888 0.00352267336784033 0.0715909931109294 0.0634909041411658
-0.157172306569974 -0.176982851720094 0.0532499999999999 0.0078491196876747 0.00320219256074208 0.0747622313098609 0.0693534338892515
-0.158255665835242 -0.177441552317603 0.0535 0.00534306202682697 -0.00729158221933123 0.061016205305043 0.0629487368982842
